1005731459-f2cda1 | http://is11.auto.ru/all/images/d8/0f/60x45/d80f6207.jpg |  BMW 3er IV (E46) Рестайлинг 320i2.2 AT (170 л.с.)  | #0000FF | 415 000 |  2004  |  189 000 км  |  2.2 AT (170 л.с.)седан, бензин, задний  | Москва | 26.12.14
1003959372-2818 | http://is15.auto.ru/all/images/6d/d3/60x45/6dd3b220.jpg |  BMW 3er V (E9x) 330xi3.0 AT (272 л.с.) 4WD  | #0000FF | 819 000 |  2006  |  220 000 км  |  3.0 AT (272 л.с.) 4WDкупе, бензин, полный  | Жуковский | 26.12.14
1005650041-af4ac5 | http://is17.auto.ru/all/images/4f/4b/60x45/4f4b27fd.jpg |  BMW 3er VI (F3x) 328i2.0 AT (245 л.с.)  | #000000 | 1 700 000 |  2013  |  34 000 км  |  2.0 AT (245 л.с.)седан, бензин, задний  | Москва | 26.12.14
1002810023-00354d | http://is11.auto.ru/all/images/db/67/60x45/db67cd32.jpg |  BMW 3er IV (E46) Рестайлинг3.0 AT (230 л.с.) 4WD  | #000000 | 490 000 |  2002  |  175 000 км  |  3.0 AT (230 л.с.) 4WDседан, бензин, полный  | Москва | 26.12.14
1002486165-6e522 | http://is3.auto.ru/all/images/0f/88/60x45/0f889a6c.jpg |  BMW 3er IV (E46) 318i1.9 MT (118 л.с.)  | #34ba2b | 247 000 |  1999  |  218 000 км  |  1.9 MT (118 л.с.)седан, бензин, задний  | Великий Новгород | 26.12.14
49497582-ad4b74 | http://is16.auto.ru/all/images/f8/eb/60x45/f8eb81d5.jpg |  BMW 3er II (E30)1.8 MT (107 л.с.)  | #FFFFFF | 60 000 |  1985  |  24 000 км  |  1.8 MT (107 л.с.)купе, бензин, задний  | Сергиев Посад | 26.12.14
1005743467-f850 | http://is9.auto.ru/all/images/1d/5d/60x45/1d5dd370.jpg |  BMW 3er IV (E46) Рестайлинг 320i2.2 AT (170 л.с.)  | #9c9999 | 415 000 |  2003  |  170 000 км  |  2.2 AT (170 л.с.)седан, бензин, задний  | Краснодар | 26.12.14
41459206-e330f | http://is18.auto.ru/all/images/28/8a/60x45/288a4a87.jpg |  BMW 3er V (E9x) Рестайлинг 318i2.0 AT (136 л.с.)  | #000000 | 780 000 |  2009  |  65 000 км  |  2.0 AT (136 л.с.)седан, бензин, задний  | Москва | 26.12.14
50246230-353c8 | http://is8.auto.ru/all/images/67/bf/60x45/67bfec9d.jpg |  BMW 3er V (E9x) Рестайлинг 318i2.0 AT (136 л.с.)  | #000000 | 780 000 |  2009  |  65 000 км  |  2.0 AT (136 л.с.)седан, бензин, задний  | Тула | 26.12.14
1005752977-802ce | http://is5.auto.ru/all/images/a3/9e/60x45/a39e8627.jpg |  BMW 3er V (E9x) Рестайлинг 320i2.0 AT (156 л.с.)  | #FFFFFF | 1 524 000 |  2011  |  38 963 км  |  2.0 AT (156 л.с.)седан, бензин, задний  | Москва | 26.12.14
