1005857389-1040 | http://is3.auto.ru/all/images/26/a0/60x45/26a0e1ce.jpg |  Hyundai Solaris I1.6 MT (123 л.с.)  | #000000 | 500 000 |  2011  |  80 000 км  |  1.6 MT (123 л.с.)седан, бензин, передний  | Москва | 28.12.14
47195662-ca3895 | http://is6.auto.ru/all/images/6e/2b/60x45/6e2bb7c5.jpg |  Hyundai Solaris I1.4 MT (107 л.с.)  | #CACECB | 430 000 |  2011  |  98 000 км  |  1.4 MT (107 л.с.)седан, бензин, передний  | Воронеж | 28.12.14
1005861009-0a249f | http://is17.auto.ru/all/images/b5/c6/60x45/b5c6d885.jpg |  Hyundai Solaris I1.4 AT (107 л.с.)  | #000000 | 495 000 |  2012  |  35 000 км  |  1.4 AT (107 л.с.)хэтчбек, бензин, передний  | Абинск | 28.12.14
1005694535-01dd0e | http://is6.auto.ru/all/images/3d/46/60x45/3d466498.jpg |  Hyundai Solaris I1.6 AT (123 л.с.)  | #0088ff | 499 000 |  2011  |  59 000 км  |  1.6 AT (123 л.с.)седан, бензин, передний  | Москва | 28.12.14
1005865371-2775 | http://is14.auto.ru/all/images/d1/a2/60x45/d1a26431.jpg |  Hyundai Solaris I1.6 MT (123 л.с.)  | #0088ff | 410 000 |  2012  |  78 500 км  |  1.6 MT (123 л.с.)хэтчбек, бензин, передний  | Архангельск | 28.12.14
1005867803-c8aefa | /i/all7/img/no-photo-thumb.gif |  Hyundai Solaris I1.6 AT (123 л.с.)  | #FFFFFF | 500 900 |  2014  |  23 000 км  |  1.6 AT (123 л.с.)хэтчбек, бензин, передний  | Муром | 28.12.14
1005908627-8927 | http://is2.auto.ru/all/images/5a/75/60x45/5a7560d5.jpg |  Hyundai Solaris I1.6 AT (123 л.с.)  | #0000FF | 515 000 |  2012  |  50 000 км  |  1.6 AT (123 л.с.)седан, бензин, передний  | Обнинск | 29.12.14
1005632779-d2d5a | http://is4.auto.ru/all/images/cf/0c/60x45/cf0c7aeb.jpg |  Hyundai Solaris I Рестайлинг1.4 MT (107 л.с.)  | #CACECB | 680 680 |  2014  |  2 км  |  1.4 MT (107 л.с.)седан, бензин, передний  | Москва | 29.12.14
1005911275-fd8a31 | http://is9.auto.ru/all/images/8a/b8/60x45/8ab89be6.jpg |  Hyundai Solaris I1.4 AT (107 л.с.)  | #CACECB | 495 000 |  2012  |  66 000 км  |  1.4 AT (107 л.с.)седан, бензин, передний  | Владимир | 29.12.14
1005912029-fddd | http://is18.auto.ru/all/images/38/29/60x45/382937ab.jpg |  Hyundai Solaris I1.4 AT (107 л.с.)  | #FF0000 | 534 900 |  2013  |  7 900 км  |  1.4 AT (107 л.с.)седан, бензин, передний  | Ногинск | 29.12.14
1005913345-1c8c | http://is16.auto.ru/all/images/57/9b/60x45/579b62a2.jpg |  Hyundai Solaris I1.6 MT (123 л.с.)  | #ffefd5 | 485 000 |  2014  |  40 000 км  |  1.6 MT (123 л.с.)седан, бензин, передний  | Рязань | 29.12.14
1005915171-a9da | http://is5.auto.ru/all/images/5f/84/60x45/5f8475c2.jpg |  Hyundai Solaris I Рестайлинг1.6 MT (123 л.с.)  | #CACECB | 705 000 |  2014  |  15 км  |  1.6 MT (123 л.с.)седан, бензин, передний  | Москва | 29.12.14
1005913601-2bbd | /i/all7/img/no-photo-thumb.gif |  Hyundai Solaris I1.4 AT (107 л.с.)  | #9c9999 | 580 000 |  2012  |  25 000 км  |  1.4 AT (107 л.с.)седан, бензин, передний  | Москва | 29.12.14
1005922387-982f7d | http://is17.auto.ru/all/images/5d/8d/60x45/5d8db80d.jpg |  Hyundai Solaris I1.4 MT (107 л.с.)  | #CACECB | 560 000 |  2012  |  80 000 км  |  1.4 MT (107 л.с.)седан, бензин, передний  | Новомосковск | 29.12.14
37164474-f0a68 | http://is12.auto.ru/all/images/c0/56/60x45/c0561e3c.jpg |  Hyundai Solaris I1.6 MT (123 л.с.)  | #9966CC | 475 000 |  2012  |  12 000 км  |  1.6 MT (123 л.с.)хэтчбек, бензин, передний  | Орел | 29.12.14
1005917855-fb6e | /i/all7/img/no-photo-thumb.gif |  Hyundai Solaris I1.6 AT (123 л.с.)  | #FFFFFF | 530 000 |  2012  |  15 000 км  |  1.6 AT (123 л.с.)седан, бензин, передний  | Ставрополь | 29.12.14
1005923561-c7c3af | http://is6.auto.ru/all/images/69/2b/60x45/692b51ce.jpg |  Hyundai Solaris I Рестайлинг1.4 AT (107 л.с.)  | #CACECB | 650 000 |  2014  |  8 000 км  |  1.4 AT (107 л.с.)седан, бензин, передний  | Чебоксары | 29.12.14
44754356-e22f | http://is8.auto.ru/all/images/ed/8c/60x45/ed8cb470.jpg |  Hyundai Solaris I1.4 AT (107 л.с.)  | #0000FF | 635 000 |  2013  |  1 км  |  1.4 AT (107 л.с.)хэтчбек, бензин, передний  | Воркута | 30.12.14
1005915649-15360b | http://is5.auto.ru/all/images/40/48/60x45/40483819.jpg |  Hyundai Solaris I1.6 AT (123 л.с.)  | #CACECB | 950 000 |  2013  |  10 700 км  |  1.6 AT (123 л.с.)седан, бензин, передний  | Москва | 30.12.14
