46464752-b287de | http://is9.auto.ru/all/images/9b/d4/60x45/9bd49a4a.jpg |  BMW 5er V (E60/E61) Рестайлинг 525i2.5 AT (218 л.с.)  | #0000FF | 800 000 |  2008  |  100 000 км  |  2.5 AT (218 л.с.)седан, бензин, задний  | Москва | 25.12.14
1005694185-3d4e | http://is9.auto.ru/all/images/8d/07/60x45/8d0756f7.jpg |  BMW 5er IV (E39) Рестайлинг 520i2.2 AT (170 л.с.)  | #34ba2b | 310 000 |  2001  |  300 000 км  |  2.2 AT (170 л.с.)седан, бензин, задний  | Москва | 25.12.14
1005696525-3354 | http://is4.auto.ru/all/images/41/e4/60x45/41e47f5b.jpg |  BMW 5er III (E34) 518i1.8 MT (113 л.с.)  | #000000 | 225 000 |  1993  |  300 000 км  |  1.8 MT (113 л.с.)седан, бензин, задний  | Витебск | 25.12.14
1003711280-0932 | http://is8.auto.ru/all/images/75/be/60x45/75bed808.jpg |  BMW 5er V (E60/E61) Рестайлинг 525xi3.0 AT (218 л.с.) 4WD  | #0000FF | 1 100 000 |  2009  |  102 000 км  |  3.0 AT (218 л.с.) 4WDседан, бензин, полный  | Москва | 25.12.14
1005633777-68c6a0 | http://is12.auto.ru/all/images/a5/0c/60x45/a50c2b8f.jpg |  BMW 5er III (E34) 520i2.0 AT (129 л.с.)  | #000000 | 125 000 |  1991  |  300 000 км  |  2.0 AT (129 л.с.)седан, бензин, задний  | Москва | 25.12.14
1005700289-5665 | http://is2.auto.ru/all/images/22/3f/60x45/223fd9e3.jpg |  BMW 5er VI (F10/F11/F07) 530d xDrive3.0d AT (245 л.с.) 4WD  | #0000FF | 2 800 000 |  2013  |  15 000 км  |  3.0d AT (245 л.с.) 4WDхэтчбек, дизель, полный  | Санкт-Петербург | 25.12.14
1005504303-5235c6 | http://is18.auto.ru/all/images/17/84/60x45/17849459.jpg |  BMW 5er V (E60/E61) 530i3.0 AT (258 л.с.)  | #000000 | 777 000 |  2007  |  99 999 км  |  3.0 AT (258 л.с.)седан, бензин, задний  | Краснодар | 25.12.14
1005700923-ab32ee | http://is14.auto.ru/all/images/1e/a0/60x45/1ea0ea45.jpg |  BMW 5er IV (E39) Рестайлинг 520i2.2 MT (170 л.с.)  | #9c9999 | 370 000 |  2002  |  160 000 км  |  2.2 MT (170 л.с.)седан, бензин, задний  | Саратов | 25.12.14
1005702383-36aa | http://is17.auto.ru/all/images/50/8e/60x45/508e5966.jpg |  BMW 5er VI (F10/F11/F07) 520i2.0 AT (184 л.с.)  | #000000 | 1 625 000 |  2013  |  20 000 км  |  2.0 AT (184 л.с.)седан, бензин, задний  | Казань | 25.12.14
38987312-87652 | http://is3.auto.ru/all/images/48/be/60x45/48beb4c5.jpg |  BMW 5er V (E60/E61) Рестайлинг 525d3.0d AT (197 л.с.)  | #0000FF | 1 200 000 |  2009  |  86 700 км  |  3.0d AT (197 л.с.)седан, дизель, задний  | Санкт-Петербург | 25.12.14
