1007280081-9ee3 | http://is10.auto.ru/all/images/bd/e9/60x45/bde9497b.jpg |  Mercedes-Benz C-klasse II (W203) Рестайлинг 1801.8 MT (143 л.с.)  | #0000FF | 550 000 |  2007  |  73 243 км  |  1.8 MT (143 л.с.)седан, бензин, задний  | Москва | 23.01.15
1005512823-0b7d5 | http://is11.auto.ru/all/images/2e/c0/60x45/2ec0f34c.jpg |  Mercedes-Benz C-klasse II (W203) Рестайлинг 1801.8 MT (143 л.с.)  | #0000FF | 558 332 |  2006  |  102 709 км  |  1.8 MT (143 л.с.)седан, бензин, задний  | Москва | 23.01.15
1005512827-182f72 | http://is14.auto.ru/all/images/6f/62/60x45/6f625c06.jpg |  Mercedes-Benz C-klasse II (W203) Рестайлинг 1801.8 MT (143 л.с.)  | #0000FF | 559 066 |  2006  |  120 269 км  |  1.8 MT (143 л.с.)седан, бензин, задний  | Москва | 23.01.15
1006656199-9376d | http://is9.auto.ru/all/images/24/90/60x45/2490b2a7.jpg |  Mercedes-Benz C-klasse II (W203) Рестайлинг 1801.8 MT (143 л.с.)  | #0000FF | 559 066 |  2006  |  97 683 км  |  1.8 MT (143 л.с.)седан, бензин, задний  | Москва | 23.01.15
1006902233-83ac | http://is17.auto.ru/all/images/1f/ef/60x45/1fef2f88.jpg |  Mercedes-Benz C-klasse II (W203) Рестайлинг 1801.8 MT (143 л.с.)  | #0000FF | 579 333 |  2007  |  152 109 км  |  1.8 MT (143 л.с.)седан, бензин, задний  | Москва | 23.01.15
1005674661-7ce139 | http://is7.auto.ru/all/images/a3/91/60x45/a391770e.jpg |  Mercedes-Benz C-klasse II (W203) Рестайлинг 1801.8 MT (143 л.с.)  | #0000FF | 605 000 |  2006  |  134 094 км  |  1.8 MT (143 л.с.)седан, бензин, задний  | Москва | 23.01.15
1006656197-eb10 | http://is6.auto.ru/all/images/52/54/60x45/52544f2b.jpg |  Mercedes-Benz C-klasse II (W203) Рестайлинг 1801.8 MT (143 л.с.)  | #0000FF | 613 699 |  2006  |  83 497 км  |  1.8 MT (143 л.с.)седан, бензин, задний  | Москва | 23.01.15
1005512831-d199c | http://is15.auto.ru/all/images/6e/c9/60x45/6ec93e27.jpg |  Mercedes-Benz C-klasse II (W203) Рестайлинг 1801.8 AT (143 л.с.)  | #0000FF | 564 667 |  2006  |  157 185 км  |  1.8 AT (143 л.с.)купе, бензин, задний  | Москва | 23.01.15
1006512289-fded | http://is18.auto.ru/all/images/67/fc/60x45/67fcc293.jpg |  Mercedes-Benz C-klasse I (W202)2.0 AT  | #0000FF | 205 000 |  1997  |  190 230 км  |  2.0 ATседан, бензин, задний  | Москва | 23.01.15
1007279719-0dea | http://is5.auto.ru/all/images/58/22/60x45/58223666.jpg |  Mercedes-Benz C-klasse II (W203) Рестайлинг 2002.0 AT (163 л.с.)  | #9c9999 | 380 000 |  2005  |  188 888 км  |  2.0 AT (163 л.с.)универсал, бензин, задний  | Москва | 23.01.15
1005948173-8d1990 | http://is1.auto.ru/all/images/c2/e6/60x45/c2e69e0e.jpg |  Mercedes-Benz C-klasse III (W204) 2302.5 AT (204 л.с.)  | #ffefd5 | 798 000 |  2008  |  144 000 км  |  2.5 AT (204 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007275865-0feaa | http://is11.auto.ru/all/images/3b/e7/60x45/3be78c07.jpg |  Mercedes-Benz C-klasse II (W203) 2301.8 AT (192 л.с.)  | #000000 | 395 000 |  2003  |  197 000 км  |  1.8 AT (192 л.с.)купе, бензин, задний  | Санкт-Петербург | 23.01.15
1005660647-38b4b0 | http://is17.auto.ru/all/images/b6/f0/60x45/b6f0e012.jpg |  Mercedes-Benz C-klasse III (W204) 1801.6 AT (156 л.с.) 5G-TRONIC  | #FFFFFF | 1 115 000 |  2010  |  33 308 км  |  1.6 AT (156 л.с.) 5G-TRONICседан, бензин, задний  | Москва | 23.01.15
