1006261517-c9a520 | http://is4.auto.ru/all/images/3a/d7/60x45/3ad752a8.jpg |  Kia Rio II1.4 MT (97 л.с.)  | #FFCC00 | 275 000 |  2006  |  89 000 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Уфа | 23.01.15
1007295663-0ab4a | http://is17.auto.ru/all/images/cc/b8/60x45/ccb8a046.jpg |  Kia Rio II Рестайлинг1.4 AT (97 л.с.)  | #0000FF | 410 000 |  2010  |  113 000 км  |  1.4 AT (97 л.с.)хэтчбек, бензин, передний  | Сыктывкар | 23.01.15
1004362147-1e61b2 | http://is7.auto.ru/all/images/ba/71/60x45/ba71b06f.jpg |  Kia Rio III1.4 AT (107 л.с.)  | #926547 | 700 000 |  2014  |  14 000 км  |  1.4 AT (107 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007295549-0159a | http://is16.auto.ru/all/images/fe/15/60x45/fe155f81.jpg |  Kia Rio III1.4 AT (107 л.с.)  | #FF0000 | 570 000 |  2012  |  32 000 км  |  1.4 AT (107 л.с.)седан, бензин, передний  | Сургут | 23.01.15
1007295397-5b420 | http://is15.auto.ru/all/images/5d/eb/60x45/5deb15b9.jpg |  Kia Rio III1.6 AT (123 л.с.) 4-speed  | #FFFFFF | 630 000 |  2012  |  46 000 км  |  1.6 AT (123 л.с.) 4-speedседан, бензин, передний  | Ростов-на-Дону | 23.01.15
1007055735-2943fb | http://is4.auto.ru/all/images/8f/a4/60x45/8fa4bec7.jpg |  Kia Rio III1.6 AT (123 л.с.) 4-speed  | #34ba2b | 560 000 |  2012  |  46 000 км  |  1.6 AT (123 л.с.) 4-speedседан, бензин, передний  | Москва | 23.01.15
47553472-05fd | http://is2.auto.ru/all/images/47/fb/60x45/47fb3aa2.jpg |  Kia Rio I1.5 AT (97 л.с.)  | #34ba2b | 265 000 |  2004  |  99 000 км  |  1.5 AT (97 л.с.)универсал, бензин, передний  | Тула | 23.01.15
46623310-2728 | http://is2.auto.ru/all/images/a0/83/60x45/a083e3db.jpg |  Kia Rio II1.6 MT (112 л.с.)  | #FF9966 | 320 000 |  2011  |  34 000 км  |  1.6 MT (112 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007294969-f4a83 | http://is7.auto.ru/all/images/4b/ab/60x45/4bab6090.jpg |  Kia Rio II Рестайлинг1.4 MT (97 л.с.)  | #9c9999 | 369 000 |  2010  |  30 000 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Курск | 23.01.15
1006627255-6a538 | http://is13.auto.ru/all/images/5c/76/60x45/5c7690b1.jpg |  Kia Rio III1.6 AT (123 л.с.) 4-speed  | #FFFFFF | 703 000 |  2014  |  15 000 км  |  1.6 AT (123 л.с.) 4-speedхэтчбек, бензин, передний  | Тверь | 23.01.15
