1006747699-e637 | http://is1.auto.ru/all/images/ba/a2/60x45/baa2cd45.jpg |  Honda CR-V IV2.0 AT (150 л.с.) 4WD  | #FFFFFF | 1 389 000 |  2013  |  8 032 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007293331-9692 | /i/all7/img/no-photo-thumb.gif |  Honda CR-V I2.0 MT (128 л.с.) 4WD  | #CACECB | 300 000 |  1998  |  300 000 км  |  2.0 MT (128 л.с.) 4WDвнедорожник, бензин, полный  | Екатеринбург | 23.01.15
1007038005-0578 | http://is9.auto.ru/all/images/91/f1/60x45/91f1fcfe.jpg |  Honda CR-V I2.0 AT (128 л.с.) 4WD  | #FF9966 | 350 000 |  1998  |  214 000 км  |  2.0 AT (128 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007114853-52810 | http://is13.auto.ru/all/images/16/4c/60x45/164cf430.jpg |  Honda CR-V IV2.0 AT (150 л.с.) 4WD  | #FFFFFF | 1 455 000 |  2013  |  29 800 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1002363739-23ff | http://is14.auto.ru/all/images/f9/51/60x45/f951c291.jpg |  Honda CR-V III2.0 AT (150 л.с.) 4WD  | #CACECB | 740 000 |  2007  |  165 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1006993289-b2599 | http://is10.auto.ru/all/images/92/13/60x45/921395f2.jpg |  Honda CR-V IV2.0 AT (150 л.с.) 4WD  | #0000FF | 1 550 000 |  2014  |  8 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
50260068-d1a7c | http://is13.auto.ru/all/images/09/40/60x45/094099e2.jpg |  Honda CR-V I2.0 AT (148 л.с.) 4WD  | #FFCC00 | 270 000 |  1999  |  190 000 км  |  2.0 AT (148 л.с.) 4WDвнедорожник, бензин, полный  | Владимир | 23.01.15
1007293213-b4e4 | http://is6.auto.ru/all/images/6d/6a/60x45/6d6ad3e4.jpg |  Honda CR-V I Рестайлинг2.0 AT (147 л.с.) 4WD  | #ffefd5 | 310 000 |  1999  |  265 000 км  |  2.0 AT (147 л.с.) 4WDвнедорожник, бензин, полный  | Коряжма | 23.01.15
1007291851-6240 | http://is18.auto.ru/all/images/bd/02/60x45/bd02ff56.jpg |  Honda CR-V II Рестайлинг2.0 MT (150 л.с.) 4WD  | #0000FF | 430 000 |  2005  |  112 302 км  |  2.0 MT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007291825-8e58db | http://is4.auto.ru/all/images/fe/da/60x45/feda6448.jpg |  Honda CR-V II Рестайлинг2.4 AT (162 л.с.) 4WD  | #9c9999 | 545 000 |  2006  |  92 135 км  |  2.4 AT (162 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007290839-6e01 | http://is18.auto.ru/all/images/3c/94/60x45/3c943b3f.jpg |  Honda CR-V III2.0 AT (150 л.с.)  | #9c9999 | 598 000 |  2006  |  92 330 км  |  2.0 AT (150 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
