1006734527-fd29ab | http://is2.auto.ru/all/images/b8/bd/60x45/b8bdfe88.jpg |  Skoda Fabia II Рестайлинг1.2 MT (70 л.с.)  | #FFFFFF | 405 000 |  2013  |  34 000 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Ярославль | 23.01.15
1003628036-2c390 | http://is5.auto.ru/all/images/65/aa/60x45/65aaff85.jpg |  Skoda Fabia I Рестайлинг1.2 MT (64 л.с.)  | #000000 | 270 000 |  2006  |  92 000 км  |  1.2 MT (64 л.с.)хэтчбек, бензин, передний  | Орел | 23.01.15
1007164441-6e312d | http://is13.auto.ru/all/images/7b/72/60x45/7b728d72.jpg |  Skoda Fabia I Рестайлинг1.2 MT (64 л.с.)  | #0000FF | 240 000 |  2007  |  124 000 км  |  1.2 MT (64 л.с.)универсал, бензин, передний  | Старая Купавна | 23.01.15
1004162055-384253 | http://is3.auto.ru/all/images/fb/a6/60x45/fba65d2c.jpg |  Skoda Fabia I Рестайлинг1.2 MT (54 л.с.)  | #CACECB | 215 000 |  2005  |  132 000 км  |  1.2 MT (54 л.с.)хэтчбек, бензин, передний  | Павловский Посад | 23.01.15
1005649391-526f7b | http://is4.auto.ru/all/images/e3/2c/60x45/e32c5d56.jpg |  Skoda Fabia II1.2 MT (70 л.с.)  | #FFFFFF | 350 000 |  2008  |  59 000 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Кинешма | 23.01.15
1007233947-5b90 | http://is14.auto.ru/all/images/a2/62/60x45/a2629797.jpg |  Skoda Fabia II Рестайлинг1.6 AT (105 л.с.)  | #FFFFFF | 585 000 |  2012  |  23 100 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1004962469-43aac | http://is3.auto.ru/all/images/60/08/60x45/60085d33.jpg |  Skoda Fabia II Рестайлинг1.2 MT (70 л.с.)  | #CACECB | 350 000 |  2011  |  90 000 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Липецк | 23.01.15
1006213889-ba5680 | http://is11.auto.ru/all/images/14/32/60x45/1432265b.jpg |  Skoda Fabia II1.2 MT (70 л.с.)  | #FF0000 | 295 000 |  2008  |  91 000 км  |  1.2 MT (70 л.с.)универсал, бензин, передний  | Воронеж | 23.01.15
1007292861-f4dbcb | http://is2.auto.ru/all/images/8c/b2/60x45/8cb2e94a.jpg |  Skoda Fabia II1.2 MT (70 л.с.)  | #0000FF | 279 000 |  2008  |  78 000 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007292713-f4f9 | http://is18.auto.ru/all/images/ae/22/60x45/ae2246ea.jpg |  Skoda Fabia II1.2 MT (70 л.с.)  | #0000FF | 269 000 |  2008  |  87 000 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007292965-f7980a | http://is5.auto.ru/all/images/b7/e8/60x45/b7e8d4b5.jpg |  Skoda Fabia I Рестайлинг1.4 MT (101 л.с.)  | #0000FF | 277 777 |  2004  |  89 000 км  |  1.4 MT (101 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007292169-bb4e | http://is5.auto.ru/all/images/05/d0/60x45/05d082cd.jpg |  Skoda Fabia II1.6 AT (105 л.с.)  | #000000 | 465 000 |  2010  |  34 000 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007291963-06c5b1 | http://is6.auto.ru/all/images/7e/75/60x45/7e751af8.jpg |  Skoda Fabia I1.9d MT (101 л.с.)  | #CACECB | 260 000 |  2002  |  103 547 км  |  1.9d MT (101 л.с.)хэтчбек, дизель, передний  | Москва | 23.01.15
1007290147-40146c | http://is16.auto.ru/all/images/09/59/60x45/09598e44.jpg |  Skoda Fabia II1.6 AT (105 л.с.)  | #CC0033 | 485 000 |  2010  |  39 400 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290035-7e67 | http://is7.auto.ru/all/images/91/a7/60x45/91a721fc.jpg |  Skoda Fabia II Рестайлинг1.4 MT (86 л.с.)  | #FF0000 | 380 000 |  2010  |  54 000 км  |  1.4 MT (86 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007289971-3fdf2 | http://is6.auto.ru/all/images/33/4d/60x45/334dd668.jpg |  Skoda Fabia I1.4 MT (60 л.с.)  | #fde910 | 222 000 Правый руль |  2002  |  100 000 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006935057-030b | http://is2.auto.ru/all/images/c8/ed/60x45/c8ed45ad.jpg |  Skoda Fabia II1.2 MT (70 л.с.)  | #9c9999 | 335 000 |  2010  |  56 000 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1006613913-50d8 | http://is2.auto.ru/all/images/b6/3f/60x45/b63f2b37.jpg |  Skoda Fabia II1.4 MT (86 л.с.)  | #9c9999 | 275 000 |  2009  |  69 500 км  |  1.4 MT (86 л.с.)хэтчбек, бензин, передний  | Клин | 23.01.15
1007286865-5408d0 | http://is6.auto.ru/all/images/f1/ad/60x45/f1addc30.jpg |  Skoda Fabia I1.4 MT (75 л.с.)  | #0000FF | 240 000 |  2003  |  37 264 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007284815-18f1f | http://is18.auto.ru/all/images/15/14/60x45/15143369.jpg |  Skoda Fabia II1.2 MT (70 л.с.)  | #CACECB | 270 000 |  2008  |  45 323 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
