1007279071-be49 | http://is15.auto.ru/all/images/f2/4b/60x45/f24b131e.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #000000 | 225 000 |  2009  |  98 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007279073-374ac | http://is6.auto.ru/all/images/41/2a/60x45/412ac534.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #CC0033 | 225 000 |  2008  |  89 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007278633-8b1a | http://is2.auto.ru/all/images/85/24/60x45/85241a9b.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #9c9999 | 199 000 |  2006  |  106 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Коломна | 23.01.15
1007278273-cd58f | http://is18.auto.ru/all/images/2f/1b/60x45/2f1b5f94.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #CACECB | 265 000 |  2011  |  72 849 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007275759-b34e | http://is18.auto.ru/all/images/53/45/60x45/5345442b.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #CACECB | 222 000 |  2007  |  119 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007269763-7ba66 | http://is14.auto.ru/all/images/6b/2c/60x45/6b2c821a.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #ffefd5 | 280 000 |  2011  |  55 050 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007271077-6615 | http://is8.auto.ru/all/images/2d/5e/60x45/2d5e41d8.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #FFCC00 | 195 000 |  2008  |  210 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Подольск | 23.01.15
1007270397-bbfcb1 | http://is12.auto.ru/all/images/4d/ca/60x45/4dca0828.jpg |  Kia Spectra1.6 AT (101 л.с.)  | #000000 | 203 000 |  2007  |  102 110 км  |  1.6 AT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007271079-fa67a2 | http://is8.auto.ru/all/images/aa/95/60x45/aa951e62.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #CACECB | 210 000 |  2007  |  80 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Подольск | 23.01.15
1007271081-6e6f | http://is13.auto.ru/all/images/2e/b1/60x45/2eb10f20.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #CACECB | 225 000 |  2007  |  93 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Подольск | 23.01.15
1007271695-cc5e | http://is8.auto.ru/all/images/59/0e/60x45/590e2a7d.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #FF0000 | 245 000 |  2009  |  60 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007272863-0dd9 | http://is8.auto.ru/all/images/6c/63/60x45/6c632cca.jpg |  Kia Spectra1.6 AT (101 л.с.)  | #ffefd5 | 245 000 |  2008  |  49 000 км  |  1.6 AT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007269759-86bd | http://is3.auto.ru/all/images/af/e0/60x45/afe04438.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #000000 | 260 000 |  2009  |  68 900 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005288123-327c | http://is7.auto.ru/all/images/b2/fe/60x45/b2fe11d3.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #ffefd5 | 270 000 |  2007  |  134 500 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007270007-a4cf | http://is5.auto.ru/all/images/f5/56/60x45/f5561149.jpg |  Kia Spectra1.6 AT (101 л.с.)  | #CACECB | 275 000 |  2008  |  75 000 км  |  1.6 AT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007272219-d2092f | http://is3.auto.ru/all/images/4e/d7/60x45/4ed79536.jpg |  Kia Spectra1.6 AT (101 л.с.)  | #ffefd5 | 275 000 |  2007  |  77 000 км  |  1.6 AT (101 л.с.)седан, бензин, передний  | Казань | 23.01.15
1007273935-14b5f | http://is17.auto.ru/all/images/ce/10/60x45/ce10b7e5.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #9c9999 | 210 000 |  2007  |  118 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007266313-2e1a88 | http://is2.auto.ru/all/images/83/bc/60x45/83bc4521.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #CACECB | 245 000 |  2010  |  65 230 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007266865-47bc8 | http://is3.auto.ru/all/images/3b/50/60x45/3b504a10.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #000000 | 210 000 |  2007  |  67 500 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007268475-6fd611 | http://is12.auto.ru/all/images/a8/da/60x45/a8daba29.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #0000FF | 230 000 |  2007  |  123 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007266309-d5d1b7 | http://is7.auto.ru/all/images/41/02/60x45/410291ef.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #FF0000 | 235 000 |  2008  |  95 235 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007266871-3f1e1 | http://is13.auto.ru/all/images/ac/db/60x45/acdba129.jpg |  Kia Spectra1.6 AT (101 л.с.)  | #FF0000 | 240 000 |  2008  |  56 000 км  |  1.6 AT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007266317-db6a | http://is17.auto.ru/all/images/61/a4/60x45/61a48679.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #FF0000 | 250 000 |  2008  |  73 817 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007264961-76ca5b | http://is6.auto.ru/all/images/3d/86/60x45/3d866b69.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #0000FF | 280 000 |  2009  |  150 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007268485-b2078 | http://is18.auto.ru/all/images/e4/b8/60x45/e4b89f69.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #CACECB | 295 000 |  2008  |  94 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007263483-69a2d2 | http://is18.auto.ru/all/images/aa/a7/60x45/aaa79e1f.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #0000FF | 209 000 |  2007  |  87 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007263925-e5247 | http://is3.auto.ru/all/images/7b/b6/60x45/7bb6128a.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #0000FF | 215 000 |  2008  |  98 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
