1007275367-4c239 | http://is14.auto.ru/all/images/d3/cb/60x45/d3cb1f87.jpg |  Kia Sportage III2.0d AT (184 л.с.) 4WD  | #000000 | 1 820 000 |  2012  |  12 000 км  |  2.0d AT (184 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007275393-64107 | http://is9.auto.ru/all/images/bd/4a/60x45/bd4aa683.jpg |  Kia Sportage III Рестайлинг2.0d AT (184 л.с.) 4WD  | #000000 | 1 920 000 |  2014  |  14 000 км  |  2.0d AT (184 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007275375-1efd2 | http://is18.auto.ru/all/images/47/a7/60x45/47a73bd1.jpg |  Kia Sportage III2.0d AT (184 л.с.) 4WD  | #926547 | 1 950 000 |  2012  |  26 000 км  |  2.0d AT (184 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007275419-2379 | http://is3.auto.ru/all/images/93/c7/60x45/93c7a63b.jpg |  Kia Sportage III Рестайлинг2.0 AT (150 л.с.)  | #926547 | 1 950 000 |  2014  |  1 001 км  |  2.0 AT (150 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007272599-64a3e1 | http://is7.auto.ru/all/images/a6/42/60x45/a6422aa4.jpg |  Kia Sportage II2.0 AT (142 л.с.) 4WD  | #000000 | 500 000 |  2010  |  27 060 км  |  2.0 AT (142 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007272605-affb99 | http://is8.auto.ru/all/images/88/6e/60x45/886e0d33.jpg |  Kia Sportage II2.0 MT (142 л.с.) 4WD  | #0000FF | 530 000 |  2010  |  67 300 км  |  2.0 MT (142 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007271303-6f32 | http://is2.auto.ru/all/images/16/87/60x45/16878825.jpg |  Kia Sportage II Рестайлинг2.0 MT (142 л.с.) 4WD  | #CACECB | 540 000 |  2010  |  54 000 км  |  2.0 MT (142 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007272609-22f168 | http://is18.auto.ru/all/images/30/7a/60x45/307a9f82.jpg |  Kia Sportage II Рестайлинг2.0 MT (142 л.с.)  | #000000 | 550 000 |  2010  |  63 750 км  |  2.0 MT (142 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007270407-44cdb5 | http://is11.auto.ru/all/images/98/08/60x45/98085ba2.jpg |  Kia Sportage II Рестайлинг2.0 MT (142 л.с.) 4WD  | #000000 | 551 000 |  2010  |  68 730 км  |  2.0 MT (142 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007271691-ff99a | http://is2.auto.ru/all/images/3a/9c/60x45/3a9ca6ed.jpg |  Kia Sportage II Рестайлинг2.0 AT (142 л.с.)  | #000000 | 580 000 |  2010  |  63 000 км  |  2.0 AT (142 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007270417-f720 | http://is6.auto.ru/all/images/cb/d3/60x45/cbd36388.jpg |  Kia Sportage II Рестайлинг2.0 MT (142 л.с.) 4WD  | #0000FF | 582 000 |  2010  |  59 137 км  |  2.0 MT (142 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007271307-00258 | http://is15.auto.ru/all/images/d8/55/60x45/d855233c.jpg |  Kia Sportage II Рестайлинг2.0d AT (140 л.с.) 4WD  | #ffefd5 | 585 000 |  2010  |  98 000 км  |  2.0d AT (140 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1006181607-82fb01 | http://is14.auto.ru/all/images/bb/0c/60x45/bb0cf18f.jpg |  Kia Sportage II Рестайлинг2.0 MT (142 л.с.) 4WD  | #FFFFFF | 590 000 |  2010  |  84 726 км  |  2.0 MT (142 л.с.) 4WDвнедорожник, бензин, полный  | Екатеринбург | 23.01.15
1007271699-d05c | http://is14.auto.ru/all/images/bc/64/60x45/bc6472da.jpg |  Kia Sportage II Рестайлинг2.0 MT (142 л.с.)  | #ffefd5 | 610 000 |  2010  |  56 000 км  |  2.0 MT (142 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1005277031-8e973 | http://is9.auto.ru/all/images/6c/b2/60x45/6cb2a2be.jpg |  Kia Sportage II Рестайлинг2.0 AT (142 л.с.) 4WD  | #ffefd5 | 689 000 |  2010  |  129 000 км  |  2.0 AT (142 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007269335-cd70 | http://is7.auto.ru/all/images/b1/3e/60x45/b13e0eef.jpg |  Kia Sportage III2.0 MT (150 л.с.)  | #0000FF | 850 000 |  2012  |  77 200 км  |  2.0 MT (150 л.с.)внедорожник, бензин, передний  | Белгород | 23.01.15
1005277035-61ac | http://is13.auto.ru/all/images/3d/ea/60x45/3deaac60.jpg |  Kia Sportage III2.0 AT (150 л.с.)  | #0000FF | 919 000 |  2010  |  92 000 км  |  2.0 AT (150 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007271311-2e099 | http://is18.auto.ru/all/images/0e/01/60x45/0e0148e9.jpg |  Kia Sportage III2.0 AT (150 л.с.) 4WD  | #000000 | 975 000 |  2013  |  24 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007270015-f43f | http://is4.auto.ru/all/images/ab/cf/60x45/abcf4512.jpg |  Kia Sportage III2.0 MT (150 л.с.) 4WD  | #FFFFFF | 999 000 |  2013  |  8 000 км  |  2.0 MT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
