1007281593-2c4b8 | http://is3.auto.ru/all/images/81/52/60x45/81528674.jpg |  Kia Sorento I Рестайлинг2.5d AT (170 л.с.) 4WD  | #CACECB | 585 000 |  2007  |  78 000 км  |  2.5d AT (170 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007280891-bf47bd | http://is3.auto.ru/all/images/fe/54/60x45/fe5470fd.jpg |  Kia Sorento I2.4 MT (139 л.с.) 4WD  | #CACECB | 510 000 |  2006  |  93 000 км  |  2.4 MT (139 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007279543-ee221 | http://is12.auto.ru/all/images/7e/f5/60x45/7ef5aa3b.jpg |  Kia Sorento II2.4 AT (175 л.с.) 4WD  | #9c9999 | 1 040 000 |  2010  |  90 283 км  |  2.4 AT (175 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1005352939-8c5b | http://is5.auto.ru/all/images/01/ca/60x45/01ca9e78.jpg |  Kia Sorento I3.5 AT (195 л.с.) 4WD  | #CACECB | 470 000 |  2003  |  150 000 км  |  3.5 AT (195 л.с.) 4WDвнедорожник, бензин, полный  | Воронеж | 23.01.15
1005890001-1f9f56 | http://is5.auto.ru/all/images/d5/be/60x45/d5be8387.jpg |  Kia Sorento II Рестайлинг2.4 AT (175 л.с.)  | #FFFFFF | 1 100 000 |  2012  |  65 000 км  |  2.4 AT (175 л.с.)внедорожник, бензин, передний  | Иваново | 23.01.15
1005286365-606f | http://is17.auto.ru/all/images/bc/c5/60x45/bcc57a65.jpg |  Kia Sorento II2.4 MT (175 л.с.) 4WD  | #CACECB | 880 000 |  2009  |  110 000 км  |  2.4 MT (175 л.с.) 4WDвнедорожник, бензин, полный  | Иваново | 23.01.15
1007275347-527f | http://is5.auto.ru/all/images/be/bd/60x45/bebd8cf2.jpg |  Kia Sorento II Рестайлинг2.0d AT (184 л.с.) 4WD  | #0000FF | 1 480 000 |  2014  |  1 001 км  |  2.0d AT (184 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007275381-ae2bf | http://is15.auto.ru/all/images/d9/9f/60x45/d99f1e9e.jpg |  Kia Sorento II Рестайлинг2.0d AT (184 л.с.) 4WD  | #9c9999 | 1 900 000 |  2014  |  1 011 км  |  2.0d AT (184 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007275437-6450 | http://is7.auto.ru/all/images/bf/95/60x45/bf95feb5.jpg |  Kia Sorento II Рестайлинг2.2d AT (197 л.с.) 4WD  | #0000FF | 2 180 000 |  2013  |  5 500 км  |  2.2d AT (197 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007275369-3e5a | http://is15.auto.ru/all/images/f2/f4/60x45/f2f4dfea.jpg |  Kia Sorento II Рестайлинг2.0d AT (184 л.с.) 4WD  | #FFFFFF | 2 300 000 |  2014  |  1 001 км  |  2.0d AT (184 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
