1005582113-22462d | http://is8.auto.ru/all/images/12/2e/60x45/122eb93b.jpg |  Ford Focus III1.6 AT (125 л.с.)  | #000000 | 822 200 |  2013  |  19 000 км  |  1.6 AT (125 л.с.)хэтчбек, бензин, передний  | Москва | 23.12.14
1005583119-5a16a6 | http://is3.auto.ru/all/images/c8/14/60x45/c814c1e1.jpg |  Ford Focus II Рестайлинг1.6 AT (100 л.с.)  | #CACECB | 350 000 |  2009  |  136 000 км  |  1.6 AT (100 л.с.)седан, бензин, передний  | Рыбинск | 23.12.14
1005583415-edad64 | http://is7.auto.ru/all/images/a5/b2/60x45/a5b2241e.jpg |  Ford Focus III1.6 MT (105 л.с.)  | #FFFFFF | 650 000 |  2012  |  72 000 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Волгодонск | 23.12.14
1005583485-36e7b8 | http://is3.auto.ru/all/images/83/4a/60x45/834abcf5.jpg |  Ford Focus II Рестайлинг1.8 MT (125 л.с.)  | #000000 | 440 000 |  2010  |  105 000 км  |  1.8 MT (125 л.с.)седан, бензин, передний  | Москва | 23.12.14
1005584163-0073 | http://is2.auto.ru/all/images/e2/12/60x45/e21283b3.jpg |  Ford Focus I Рестайлинг1.8d MT (75 л.с.)  | #CACECB | 250 000 |  2002  |  210 000 км  |  1.8d MT (75 л.с.)универсал, дизель, передний  | Смоленск | 23.12.14
1005584309-379a | http://is6.auto.ru/all/images/50/9c/60x45/509c7c3f.jpg |  Ford Focus II Рестайлинг1.6 AT (100 л.с.)  | #0000FF | 480 000 |  2008  |  40 300 км  |  1.6 AT (100 л.с.)седан, бензин, передний  | Москва | 23.12.14
1005584297-53ed | /i/all7/img/no-photo-thumb.gif |  Ford Focus I Рестайлинг1.6 MT (98 л.с.)  | #FFFFFF | 239 000 |  2004  |  120 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Брянск | 23.12.14
1005585309-0208e | http://is2.auto.ru/all/images/45/c0/60x45/45c0d974.jpg |  Ford Focus II Рестайлинг1.4 MT (80 л.с.)  | #000000 | 415 000 |  2010  |  112 000 км  |  1.4 MT (80 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.12.14
1005584781-3144d | http://is6.auto.ru/all/images/94/12/60x45/941238ca.jpg |  Ford Focus II Рестайлинг1.8 MT (125 л.с.)  | #FFFFFF | 380 000 |  2010  |  94 000 км  |  1.8 MT (125 л.с.)хэтчбек, бензин, передний  | Воронеж | 23.12.14
1005585989-475d | http://is9.auto.ru/all/images/ad/f7/60x45/adf7b013.jpg |  Ford Focus I1.8 MT (115 л.с.)  | #34ba2b | 200 000 |  1999  |  220 км  |  1.8 MT (115 л.с.)седан, бензин, передний  | Муром | 23.12.14
