1007266691-ba0dc | http://is3.auto.ru/all/images/03/53/60x45/03538749.jpg |  Toyota Avensis II Рестайлинг2.4 AT (163 л.с.)  | #CACECB | 575 000 |  2008  |  86 746 км  |  2.4 AT (163 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007264127-0cff85 | http://is3.auto.ru/all/images/37/9c/60x45/379cf1f9.jpg |  Toyota Avensis III Рестайлинг1.8 CVT (147 л.с.)  | #0000FF | 1 100 000 |  2011  |  50 372 км  |  1.8 CVT (147 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007263429-bca7 | http://is12.auto.ru/all/images/03/be/60x45/03be5095.jpg |  Toyota Avensis II Рестайлинг2.4 AT (163 л.с.)  | #9c9999 | 599 000 |  2008  |  110 000 км  |  2.4 AT (163 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007262871-2af12 | http://is14.auto.ru/all/images/44/45/60x45/4445b6eb.jpg |  Toyota Avensis II Рестайлинг1.8 MT (129 л.с.)  | #FFCC00 | 490 000 |  2006  |  94 000 км  |  1.8 MT (129 л.с.)седан, бензин, передний  | Уфа | 23.01.15
1007256437-a94b | http://is17.auto.ru/all/images/69/a0/60x45/69a044f5.jpg |  Toyota Avensis II2.4 AT (163 л.с.)  | #34ba2b | 600 000 |  2006  |  169 000 км  |  2.4 AT (163 л.с.)седан, бензин, передний  | Обнинск | 23.01.15
1005172187-73fc3c | http://is6.auto.ru/all/images/bd/a9/60x45/bda9ccc1.jpg |  Toyota Avensis III1.8 CVT (147 л.с.)  | #9c9999 | 645 000 |  2009  |  38 000 км  |  1.8 CVT (147 л.с.)седан, бензин, передний  | Москва | 23.01.15
10305206-3b0299 | http://is18.auto.ru/all/images/a5/fb/60x45/a5fbf486.jpg |  Toyota Avensis II Рестайлинг1.8 AT (129 л.с.)  | #9c9999 | 540 000 |  2008  |  92 700 км  |  1.8 AT (129 л.с.)седан, бензин, передний  | Старый Оскол | 22.01.15
1006877619-8fe0cd | http://is13.auto.ru/all/images/70/78/60x45/70785b28.jpg |  Toyota Avensis II Рестайлинг1.8 AT (129 л.с.)  | #CACECB | 565 000 |  2007  |  154 000 км  |  1.8 AT (129 л.с.)седан, бензин, передний  | Георгиевск | 22.01.15
1007117415-ae0063 | http://is14.auto.ru/all/images/7a/5b/60x45/7a5b0bb6.jpg |  Toyota Avensis II Рестайлинг1.8 AT (129 л.с.)  | #9c9999 | 695 000 |  2008  |  89 000 км  |  1.8 AT (129 л.с.)седан, бензин, передний  | Щелково | 22.01.15
1007254675-a4fc | http://is2.auto.ru/all/images/ae/6c/60x45/ae6caf32.jpg |  Toyota Avensis II Рестайлинг2.4 AT (163 л.с.)  | #CACECB | 535 000 |  2006  |  105 000 км  |  2.4 AT (163 л.с.)седан, бензин, передний  | Ижевск | 22.01.15
1007254581-4e6a | http://is9.auto.ru/all/images/87/8b/60x45/878b9edd.jpg |  Toyota Avensis II1.8 MT (129 л.с.)  | #34ba2b | 460 000 |  2004  |  75 978 км  |  1.8 MT (129 л.с.)седан, бензин, передний  | Сергиев Посад | 22.01.15
1007254241-3bddb9 | http://is5.auto.ru/all/images/d9/9c/60x45/d99ccc63.jpg |  Toyota Avensis I2.0d MT (90 л.с.)  | #0000FF | 189 000 |  1998  |  320 000 км  |  2.0d MT (90 л.с.)седан, дизель, передний  | Санкт-Петербург | 22.01.15
1007253423-bffe | http://is7.auto.ru/all/images/24/5f/60x45/245f642f.jpg |  Toyota Avensis II1.8 AT (129 л.с.)  | #ffefd5 | 499 000 |  2006  |  150 000 км  |  1.8 AT (129 л.с.)седан, бензин, передний  | Владимир | 22.01.15
1002294921-6db8f9 | http://is4.auto.ru/all/images/03/08/60x45/03089a0a.jpg |  Toyota Avensis II2.0d MT (116 л.с.)  | #FF0000 | 450 000 |  2005  |  260 000 км  |  2.0d MT (116 л.с.)седан, дизель, передний  | Краснодар | 22.01.15
1007117483-d00e58 | http://is6.auto.ru/all/images/8e/63/60x45/8e6335dd.jpg |  Toyota Avensis II Рестайлинг2.0 AT (147 л.с.)  | #ffefd5 | 590 000 |  2007  |  155 000 км  |  2.0 AT (147 л.с.)седан, бензин, передний  | Москва | 22.01.15
48695930-12d1a5 | http://is1.auto.ru/all/images/f7/87/60x45/f7875e46.jpg |  Toyota Avensis II1.8 MT (129 л.с.)  | #9c9999 | 450 000 |  2004  |  132 000 км  |  1.8 MT (129 л.с.)седан, бензин, передний  | Калуга | 22.01.15
1007252951-2bcde | http://is4.auto.ru/all/images/c4/5b/60x45/c45b67f0.jpg |  Toyota Avensis II2.0 AT (147 л.с.)  | #34ba2b | 590 000 |  2006  |  38 210 км  |  2.0 AT (147 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006572241-43441b | http://is4.auto.ru/all/images/99/75/60x45/997501d1.jpg |  Toyota Avensis I1.8 MT (110 л.с.)  | #34ba2b | 275 000 |  2000  |  250 000 км  |  1.8 MT (110 л.с.)хэтчбек, бензин, передний  | Бийск | 22.01.15
1007253271-7417 | http://is5.auto.ru/all/images/ea/94/60x45/ea940b85.jpg |  Toyota Avensis I1.6 MT (101 л.с.)  | #000000 | 200 000 |  1999  |  240 000 км  |  1.6 MT (101 л.с.)хэтчбек, бензин, передний  | Ржев | 22.01.15
1007253209-2ce5 | /i/all7/img/no-photo-thumb.gif |  Toyota Avensis II1.8 MT (129 л.с.)  | #CACECB | 365 000 |  2004  |  180 000 км  |  1.8 MT (129 л.с.)универсал, бензин, передний  | Санкт-Петербург | 22.01.15
