1005702899-657ba3 | http://is16.auto.ru/all/images/4e/22/60x45/4e22e8b0.jpg |  BMW X5 II (E70) 35d3.0d AT (286 л.с.) 4WD  | #FFFFFF | 1 750 000 |  2009  |  72 000 км  |  3.0d AT (286 л.с.) 4WDвнедорожник, дизель, полный  | Киров | 25.12.14
1005704295-4ae9a0 | http://is11.auto.ru/all/images/4d/f5/60x45/4df5f561.jpg |  BMW X5 II (E70) 30d3.0d AT (235 л.с.) 4WD  | #9c9999 | 1 340 000 |  2007  |  104 000 км  |  3.0d AT (235 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 25.12.14
1005707355-f33ca | http://is3.auto.ru/all/images/00/e9/60x45/00e95cfc.jpg |  BMW X5 II (E70) 30i3.0 AT (272 л.с.) 4WD  | #9c9999 | 1 250 000 |  2008  |  149 000 км  |  3.0 AT (272 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 25.12.14
1005647981-f69394 | http://is10.auto.ru/all/images/da/77/60x45/da773686.jpg |  BMW X5 II (E70) 30i3.0 AT (272 л.с.) 4WD  | #9c9999 | 1 250 000 |  2008  |  149 000 км  |  3.0 AT (272 л.с.) 4WDвнедорожник, бензин, полный  | Минск | 25.12.14
1004165449-74aaab | http://is6.auto.ru/all/images/85/b6/60x45/85b66540.jpg |  BMW X5 I (E53)3.0 AT (231 л.с.) 4WD  | #CACECB | 590 000 |  2001  |  230 000 км  |  3.0 AT (231 л.с.) 4WDвнедорожник, бензин, полный  | Королев | 25.12.14
1005709667-79f1 | http://is3.auto.ru/all/images/36/e9/60x45/36e9f8e9.jpg |  BMW X5 I (E53) Рестайлинг3.0 AT (231 л.с.) 4WD  | #000000 | 725 000 |  2003  |  300 000 км  |  3.0 AT (231 л.с.) 4WDвнедорожник, бензин, полный  | Брянск | 25.12.14
1005709517-00de0e | http://is14.auto.ru/all/images/5d/f8/60x45/5df86d05.jpg |  BMW X5 II (E70) 30i3.0 AT (272 л.с.) 4WD  | #000000 | 1 390 000 |  2008  |  116 000 км  |  3.0 AT (272 л.с.) 4WDвнедорожник, бензин, полный  | Челябинск | 25.12.14
1005709863-724d | http://is5.auto.ru/all/images/73/fd/60x45/73fd13bc.jpg |  BMW X5 II (E70) 30i3.0 AT (272 л.с.) 4WD  | #FFFFFF | 1 650 000 |  2009  |  109 000 км  |  3.0 AT (272 л.с.) 4WDвнедорожник, бензин, полный  | Тюмень | 25.12.14
1005709535-b54e | http://is11.auto.ru/all/images/57/8c/60x45/578ce8c5.jpg |  BMW X5 II (E70) 30i3.0 AT (272 л.с.) 4WD  | #FFFFFF | 1 650 000 |  2009  |  109 000 км  |  3.0 AT (272 л.с.) 4WDвнедорожник, бензин, полный  | Челябинск | 25.12.14
1005709889-36af8a | http://is18.auto.ru/all/images/a7/d0/60x45/a7d0b77d.jpg |  BMW X5 I (E53) Рестайлинг3.0 AT (231 л.с.) 4WD  | #000000 | 672 000 |  2004  |  129 000 км  |  3.0 AT (231 л.с.) 4WDвнедорожник, бензин, полный  | Нижний Новгород | 25.12.14
1005710095-8200 | http://is3.auto.ru/all/images/ce/bd/60x45/cebd0328.jpg |  BMW X5 I (E53) Рестайлинг3.0 AT (231 л.с.) 4WD  | #000000 | 699 000 |  2005  |  168 000 км  |  3.0 AT (231 л.с.) 4WDвнедорожник, бензин, полный  | Орел | 25.12.14
1005710471-8df5 | http://is7.auto.ru/all/images/ea/3a/60x45/ea3a80c9.jpg |  BMW X5 I (E53) Рестайлинг3.0 AT (231 л.с.) 4WD  | #000000 | 690 000 |  2005  |  200 000 км  |  3.0 AT (231 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 25.12.14
1005711723-f4dce | http://is7.auto.ru/all/images/95/f3/60x45/95f30ff6.jpg |  BMW X5 II (E70) Рестайлинг 50i4.4 AT (407 л.с.) 4WD  | #FFFFFF | 3 100 000 |  2011  |  46 000 км  |  4.4 AT (407 л.с.) 4WDвнедорожник, бензин, полный  | Ростов-на-Дону | 26.12.14
