1007278683-154d94 | http://is18.auto.ru/all/images/61/b5/60x45/61b587eb.jpg |  Ford Mondeo IV2.0d AT (130 л.с.)  | #9c9999 | 549 000 |  2008  |  134 743 км  |  2.0d AT (130 л.с.)универсал, дизель, передний  | Коломна | 23.01.15
1007278737-42f0d | http://is8.auto.ru/all/images/cd/54/60x45/cd5459d2.jpg |  Ford Mondeo III1.8 MT (125 л.с.)  | #9c9999 | 304 800 |  2006  |  131 951 км  |  1.8 MT (125 л.с.)седан, бензин, передний  | Коломна | 23.01.15
1005356833-0e5799 | http://is3.auto.ru/all/images/f1/48/60x45/f148a849.jpg |  Ford Mondeo IV1.6 MT (120 л.с.)  | #0000FF | 569 000 |  2012  |  30 893 км  |  1.6 MT (120 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007278457-4f969a | http://is17.auto.ru/all/images/67/4b/60x45/674b1aca.jpg |  Ford Mondeo III2.0 MT (145 л.с.)  | #000000 | 315 000 |  2004  |  82 826 км  |  2.0 MT (145 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007278459-ef845 | http://is2.auto.ru/all/images/01/d5/60x45/01d530b9.jpg |  Ford Mondeo III2.0 MT (145 л.с.)  | #000000 | 345 000 |  2006  |  87 562 км  |  2.0 MT (145 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007278389-a1f5dd | http://is15.auto.ru/all/images/53/74/60x45/537471ce.jpg |  Ford Mondeo III1.8 MT (110 л.с.)  | #0088ff | 355 000 |  2004  |  74 584 км  |  1.8 MT (110 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007278455-bf5de1 | http://is10.auto.ru/all/images/89/90/60x45/89907fa4.jpg |  Ford Mondeo IV2.0 MT (145 л.с.)  | #9c9999 | 495 000 |  2008  |  82 305 км  |  2.0 MT (145 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007278453-9cdb | http://is5.auto.ru/all/images/2e/54/60x45/2e54cc2e.jpg |  Ford Mondeo IV2.0 MT (145 л.с.)  | #9c9999 | 525 000 |  2008  |  69 632 км  |  2.0 MT (145 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007278451-e91c4 | http://is9.auto.ru/all/images/2e/2d/60x45/2e2d2228.jpg |  Ford Mondeo IV2.0 MT (145 л.с.)  | #9c9999 | 535 000 |  2008  |  66 176 км  |  2.0 MT (145 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007278473-eda7c | http://is14.auto.ru/all/images/42/ef/60x45/42efc8c6.jpg |  Ford Mondeo IV2.0 MT (145 л.с.)  | #9c9999 | 535 000 |  2008  |  75 264 км  |  2.0 MT (145 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007278339-922bb | http://is18.auto.ru/all/images/89/4a/60x45/894a9182.jpg |  Ford Mondeo IV2.0 MT (145 л.с.)  | #9c9999 | 575 000 |  2008  |  82 304 км  |  2.0 MT (145 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007138491-762e2 | http://is2.auto.ru/all/images/c5/ba/60x45/c5bad776.jpg |  Ford Mondeo IV2.0 AT (200 л.с.)  | #FFFFFF | 745 000 |  2011  |  55 572 км  |  2.0 AT (200 л.с.)седан, бензин, передний  | Воронеж | 23.01.15
1005780309-7f4ee | http://is11.auto.ru/all/images/f8/50/60x45/f850fa30.jpg |  Ford Mondeo IV2.3 AT (161 л.с.)  | #926547 | 850 000 |  2011  |  58 000 км  |  2.3 AT (161 л.с.)седан, бензин, передний  | Смоленск | 23.01.15
1007275927-7d9b | http://is8.auto.ru/all/images/c0/ae/60x45/c0ae423d.jpg |  Ford Mondeo IV2.0 AT (200 л.с.)  | #9c9999 | 1 025 000 |  2013  |  35 000 км  |  2.0 AT (200 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007276229-3307 | http://is1.auto.ru/all/images/59/c5/60x45/59c5aae4.jpg |  Ford Mondeo III1.8 MT (125 л.с.)  | #CACECB | 345 000 |  2006  |  88 000 км  |  1.8 MT (125 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007269999-9ec6e | http://is2.auto.ru/all/images/9f/46/60x45/9f460787.jpg |  Ford Mondeo IV2.3 AT (161 л.с.)  | #9c9999 | 633 000 |  2011  |  56 369 км  |  2.3 AT (161 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007270009-cf27dc | http://is16.auto.ru/all/images/3c/59/60x45/3c59efef.jpg |  Ford Mondeo IV2.3 AT (161 л.с.)  | #000000 | 649 000 |  2011  |  51 364 км  |  2.3 AT (161 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007269631-305d | http://is10.auto.ru/all/images/73/6d/60x45/736dde55.jpg |  Ford Mondeo IV2.3 AT (161 л.с.)  | #9c9999 | 650 000 |  2011  |  80 000 км  |  2.3 AT (161 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007270095-dafe3 | http://is16.auto.ru/all/images/35/8b/60x45/358bba4c.jpg |  Ford Mondeo IV2.0 MT (145 л.с.)  | #9c9999 | 659 000 |  2013  |  32 184 км  |  2.0 MT (145 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007272521-1a5ce9 | http://is9.auto.ru/all/images/c1/b4/60x45/c1b4fbfb.jpg |  Ford Mondeo IV2.0d AT (140 л.с.)  | #000000 | 670 000 |  2011  |  61 157 км  |  2.0d AT (140 л.с.)седан, дизель, передний  | Москва | 23.01.15
1006279547-da8a6 | http://is16.auto.ru/all/images/39/d5/60x45/39d59f74.jpg |  Ford Mondeo IV2.3 AT (161 л.с.)  | #FFFFFF | 675 000 |  2010  |  84 710 км  |  2.3 AT (161 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007270017-07ac | http://is18.auto.ru/all/images/34/b5/60x45/34b57be0.jpg |  Ford Mondeo IV2.3 AT (161 л.с.)  | #000000 | 679 000 |  2011  |  44 375 км  |  2.3 AT (161 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006279549-1f49a | http://is2.auto.ru/all/images/d2/88/60x45/d288c64b.jpg |  Ford Mondeo IV2.3 AT (161 л.с.)  | #000000 | 685 000 |  2010  |  60 700 км  |  2.3 AT (161 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005288015-96dc90 | http://is18.auto.ru/all/images/c3/a8/60x45/c3a8ec23.jpg |  Ford Mondeo IV2.0d AT (140 л.с.)  | #9c9999 | 689 000 |  2010  |  104 368 км  |  2.0d AT (140 л.с.)седан, дизель, передний  | Москва | 23.01.15
1007274539-e3ae | http://is2.auto.ru/all/images/b2/78/60x45/b2781f47.jpg |  Ford Mondeo IV1.6 MT (120 л.с.)  | #000000 | 690 000 |  2012  |  61 500 км  |  1.6 MT (120 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005288017-b55d | http://is4.auto.ru/all/images/b8/b4/60x45/b8b44f72.jpg |  Ford Mondeo IV2.0 AT (200 л.с.)  | #9c9999 | 735 000 |  2011  |  79 600 км  |  2.0 AT (200 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007270029-e7ef | http://is9.auto.ru/all/images/cc/8d/60x45/cc8d4da2.jpg |  Ford Mondeo IV2.0 AT (200 л.с.)  | #9c9999 | 747 000 |  2013  |  41 725 км  |  2.0 AT (200 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007270043-08fa8 | http://is14.auto.ru/all/images/ad/9c/60x45/ad9c9992.jpg |  Ford Mondeo IV2.0 AT (200 л.с.)  | #9c9999 | 777 000 |  2013  |  35 685 км  |  2.0 AT (200 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006839337-d4d641 | http://is9.auto.ru/all/images/ac/0d/60x45/ac0dd380.jpg |  Ford Mondeo IV2.0d AT (140 л.с.)  | #926547 | 820 000 |  2012  |  80 000 км  |  2.0d AT (140 л.с.)седан, дизель, передний  | Москва | 23.01.15
1007269635-be1fcb | http://is17.auto.ru/all/images/1e/e9/60x45/1ee9d1ae.jpg |  Ford Mondeo IV2.0d AT (140 л.с.)  | #9c9999 | 940 000 |  2013  |  29 990 км  |  2.0d AT (140 л.с.)седан, дизель, передний  | Москва | 23.01.15
1005467713-ed06 | http://is16.auto.ru/all/images/e2/7f/60x45/e27f56a7.jpg |  Ford Mondeo IV2.3 AT (161 л.с.)  | #CACECB | 963 000 |  2012  |  27 937 км  |  2.3 AT (161 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007274747-06bc5 | http://is4.auto.ru/all/images/76/f8/60x45/76f8a7b1.jpg |  Ford Mondeo II1.8 MT (115 л.с.)  | #9966CC | 145 000 |  1998  |  170 000 км  |  1.8 MT (115 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1005352099-fb13c4 | http://is2.auto.ru/all/images/f7/de/60x45/f7de4cc2.jpg |  Ford Mondeo III1.8 MT (125 л.с.)  | #9c9999 | 345 000 |  2006  |  221 274 км  |  1.8 MT (125 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007137575-6524 | http://is9.auto.ru/all/images/e5/f4/60x45/e5f4a254.jpg |  Ford Mondeo III1.8 MT (125 л.с.)  | #000000 | 345 000 |  2006  |  237 044 км  |  1.8 MT (125 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005941259-ccea | http://is9.auto.ru/all/images/79/3f/60x45/793fdb9f.jpg |  Ford Mondeo III1.8 MT (125 л.с.)  | #000000 | 350 000 |  2005  |  186 000 км  |  1.8 MT (125 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006708379-d73a5 | http://is17.auto.ru/all/images/e4/af/60x45/e4af90f2.jpg |  Ford Mondeo III1.8 MT (125 л.с.)  | #CACECB | 369 000 |  2007  |  245 410 км  |  1.8 MT (125 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007272117-8a84 | http://is5.auto.ru/all/images/97/55/60x45/9755ebf3.jpg |  Ford Mondeo IV1.6 MT (120 л.с.)  | #CACECB | 390 000 |  2009  |  86 000 км  |  1.6 MT (120 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007271731-cc67 | http://is6.auto.ru/all/images/01/8d/60x45/018d0a8d.jpg |  Ford Mondeo IV1.6 MT (120 л.с.)  | #CACECB | 395 000 |  2007  |  212 000 км  |  1.6 MT (120 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007071997-cce4ad | http://is3.auto.ru/all/images/55/b6/60x45/55b61d22.jpg |  Ford Mondeo III1.8 MT (125 л.с.)  | #9c9999 | 399 000 |  2007  |  150 419 км  |  1.8 MT (125 л.с.)седан, бензин, передний  | Москва | 23.01.15
